stock_code,date,volume,open_price,close_price,turnover,turnover_rate,price_change_percentage,volume_next_day,volume_last_day,close_price_next_days,cumsum_return_next_days,volume_rate
300597,2024-08-13,29822,7.1,7.09,20487900.0,1.1,0.57,116229.0,45432.0,7.32,3.2440056417489482,3.088978658941717
600684,2024-07-31,192152,32.59,33.01,53332872.0,2.25,1.29,602608.0,179374.0,34.08,3.241441987276584,3.2439613916657244
300676,2024-08-09,19854,39.07,38.36,71947125.0,0.48,-2.34,68364.0,25382.0,39.6,3.232533889468201,3.0225484127685913
300868,2024-08-13,34652,17.21,17.79,59931095.0,4.57,2.65,105028.0,30803.0,18.36,3.2040472175379446,3.2091666030097015
600138,2024-07-30,41464,38.77,39.04,40181030.0,0.57,0.59,125911.0,36685.0,40.29,3.2018442622950816,3.2223316997018516
600371,2024-07-29,13597,26.09,25.91,9236554.0,0.46,-0.69,72870.0,16176.0,26.73,3.164801235044386,4.895039129412555
833873,2024-08-08,5160,5.44,5.38,1450217.15,0.47,-1.47,29922.0,3343.0,5.55,3.159851301115241,7.037986592967188
600711,2024-08-05,96227,41.78,41.78,39260616.0,0.31,-4.55,2703003.0,20987.0,43.1,3.159406414552418,46.120821744842765
2972,2024-07-31,22004,14.67,14.88,20270063.0,1.65,2.06,104201.0,16048.0,15.35,3.158602150537627,5.476768632397771
2926,2024-07-30,78732,6.91,6.99,51160420.0,0.3,0.87,252791.0,60325.0,7.21,3.1473533619456333,3.6357896402194783
2797,2024-08-09,232852,8.71,8.6,119287421.2,0.55,-0.69,1086282.0,290075.0,8.87,3.1395348837209256,4.154621964442455
719,2024-07-30,44803,46.9,47.16,43472399.28,0.67,0.55,137263.0,40267.0,48.64,3.138252756573376,3.2270600681791466
601519,2024-07-30,85952,16.32,16.44,48535982.0,0.43,0.74,730309.0,77467.0,16.95,3.1021897810218855,8.937871361347211
600054,2024-07-30,21996,36.9,37.05,23906873.0,0.43,0.49,74092.0,13317.0,38.19,3.076923076923079,4.196301645286439
2805,2024-07-31,64233,19.76,20.51,60910266.4,2.3,3.48,247925.0,42371.0,21.14,3.0716723549488005,4.651326404262504
2761,2024-07-31,172125,23.94,24.6,130842165.81,1.59,2.76,576195.0,93915.0,25.35,3.048780487804878,4.3316418583671625
870508,2024-07-25,3893,14.63,14.78,3044502.43,1.49,1.03,14045.0,4036.0,15.23,3.0446549391069087,3.5426913860512044
2379,2024-07-30,48010,39.42,39.5,23440897.3,0.42,0.2,189381.0,71341.0,40.7,3.037974683544311,3.173513418404538
600227,2024-07-29,81997,6.93,6.93,11034131.0,0.64,1.02,418847.0,116477.0,7.14,3.03030303030303,4.220673740641091
300621,2024-08-08,25330,11.58,11.56,18724856.0,1.29,-0.43,97503.0,30110.0,11.91,3.027681660899651,3.5174242424242426
601990,2024-07-30,80366,9.56,9.63,60534042.0,0.22,0.42,418983.0,81201.0,9.92,3.0114226375908526,5.186492291123806
2981,2024-08-13,18004,24.55,24.95,31043170.35,1.56,1.63,88707.0,17659.0,25.7,3.0060120240480965,4.97473572049463
601878,2024-07-30,413416,11.54,11.66,447536181.0,1.06,0.69,1474327.0,399759.0,12.01,3.0017152658662063,3.6261001629415563
603822,2024-08-13,7138,22.54,23.0,15307169.0,0.93,1.55,25918.0,8105.0,23.69,3.0000000000000053,3.400642918060749
300215,2024-08-06,139876,93.96,96.2,67203272.0,2.49,2.73,608458.0,153916.0,99.08,2.993762993762989,4.1421005337109245
688670,2024-08-01,4549,16.62,16.46,5157528.0,1.03,-1.14,18761.0,5876.0,16.95,2.9769137302551543,3.599232613908873
300082,2024-08-05,31617,40.07,39.64,13535136.0,0.47,-1.54,192847.0,26213.0,40.82,2.9767911200807258,6.669444924779526
300026,2024-08-09,364236,170.18,168.36,122608518.0,1.32,-1.6,1620841.0,580657.0,173.37,2.9757662152530235,3.4307397768847903
2797,2024-07-30,214041,8.37,8.43,107158226.22,0.51,0.72,875658.0,182691.0,8.68,2.965599051008304,4.414355282659327
2890,2024-08-07,12123,22.44,22.34,10243883.34,0.75,0.27,86654.0,16948.0,23.0,2.9543419874664285,5.961542430600942
300099,2024-08-02,61899,72.66,71.79,28407502.0,1.06,-2.05,695136.0,76090.0,73.91,2.953057528903733,10.075237881280392
623,2024-07-30,41214,343.58,343.8,53874882.39,0.35,0.06,149086.0,51312.0,353.95,2.952297847585799,3.222575276138599
